jurisdiction,title,match_text,date,file_link
Santa Ana,2022-025 - Disability and Industrial Disability Retirments for Miscellaneous,2022-025 - Disability and Industrial Disability Retirments for Miscellaneous,2022-04-06,https://publicdocs.santa-ana.org/WebLink/1/doc/131836/Page1.aspx
Santa Ana,2022-026 - Remote Teleconferencing Provisions (AB 361),2022-026 - Remote Teleconferencing Provisions (AB 361),2022-04-08,https://publicdocs.santa-ana.org/WebLink/1/doc/131879/Page1.aspx
Santa Ana,2022-027 - Fairview Bridge Replacement and Street Improvements,2022-027 - Fairview Bridge Replacement and Street Improvements,2022-04-08,https://publicdocs.santa-ana.org/WebLink/1/doc/131878/Page1.aspx
Santa Ana,2022-028 - Joint School Collaboration,2022-028 - Joint School Collaboration,2022-04-20,https://publicdocs.santa-ana.org/WebLink/1/doc/132073/Page1.aspx
Santa Ana,2022-029 - Certifying the Final Recirculated Program,2022-029 - Certifying the Final Recirculated Program,2022-04-27,https://publicdocs.santa-ana.org/WebLink/1/doc/132195/Page1.aspx
Santa Ana,2022-030 - Comprehensive Update to the Santa Ana General Plan,2022-030 - Comprehensive Update to the Santa Ana General Plan,2022-04-27,https://publicdocs.santa-ana.org/WebLink/1/doc/132193/Page1.aspx
Santa Ana,2022-031 - The Orange County Airport Land Use,2022-031 - The Orange County Airport Land Use,2022-04-27,https://publicdocs.santa-ana.org/WebLink/1/doc/132192/Page1.aspx
Santa Ana,2022-032 - Santa Ana Zoo and Park Projects,2022-032 - Santa Ana Zoo and Park Projects,2022-05-05,https://publicdocs.santa-ana.org/WebLink/1/doc/132513/Page1.aspx
Santa Ana,2022-033 - California Authorizing the Use of Remote Teleconferncing Provisions,2022-033 - California Authorizing the Use of Remote Teleconferncing Provisions,2022-05-05,https://publicdocs.santa-ana.org/WebLink/1/doc/132514/Page1.aspx
Santa Ana,2022-034 - Bill Ending Child Marriage in California,2022-034 - Bill Ending Child Marriage in California,2022-05-05,https://publicdocs.santa-ana.org/WebLink/1/doc/132515/Page1.aspx
Santa Ana,2022-035 - King Street Urban Greening Project,2022-035 - King Street Urban Greening Project,2022-05-20,https://publicdocs.santa-ana.org/WebLink/1/doc/132852/Page1.aspx
Santa Ana,2022-036 - Santa Ana River Watershed Weather Modification Pilot Program,2022-036 - Santa Ana River Watershed Weather Modification Pilot Program,2022-05-20,https://publicdocs.santa-ana.org/WebLink/1/doc/132853/Page1.aspx
Santa Ana,2022-037 - California Authorizing the Use of Remote Teleconferncing Provisions,2022-037 - California Authorizing the Use of Remote Teleconferncing Provisions,2022-05-20,https://publicdocs.santa-ana.org/WebLink/1/doc/132855/Page1.aspx
Santa Ana,"2022-038 - Parks, Facilities, Trails, and Open Space Master Plan","2022-038 - Parks, Facilities, Trails, and Open Space Master Plan",2022-06-09,https://publicdocs.santa-ana.org/WebLink/1/doc/133007/Page1.aspx
Santa Ana,2022-039 - Rectification of Past Policies and Misdeeds,2022-039 - Rectification of Past Policies and Misdeeds,2022-05-24,https://publicdocs.santa-ana.org/WebLink/1/doc/132882/Page1.aspx
Santa Ana,2022-040 - Rental Project for Westview House,2022-040 - Rental Project for Westview House,2022-05-20,https://publicdocs.santa-ana.org/WebLink/1/doc/132850/Page1.aspx
Santa Ana,2022-041 - Demolition Soild Waste Collection,2022-041 - Demolition Soild Waste Collection,2022-05-20,https://publicdocs.santa-ana.org/WebLink/1/doc/132854/Page1.aspx
